id,name,description,address,city,area,latitude,longitude,phone,website
1690bed7-2645-597c-af2d-54a8d17c26d9,PastaMania Bangladesh,,"Level 2, Chef's Ta",,,23.7955698,90.414716,,
58511fb1-fc83-5a7c-a395-15c30f23fc2f,Chows,,Plot 6 Rd No. 19/ Chic venue with d,,,23.7911315,90.4094666,,
2c5709ed-807c-5da1-b1d9-c149ffaec85b,Khalifa’s Restaurant,,House-2 Rd 21,,,23.7814515,90.415907,,
cc56f98d-87a7-5c87-81e2-d494b0eaf3be,Lounge Comida,,"House No.: 2, Road No. 22 & 23, G",,,23.7818584,90.4151687,,
dba37528-c9c5-52ae-95f4-f0867c0fc51e,Santoor Fusion Dining,,Road No. 11,,,23.7902408,90.4102761,,
226d521b-3482-5c6e-b347-b1ff249b369e,Jatra Biroti,,"House No, 63 Ro",,,23.7927891,90.4093005,,
f10c262f-bc4d-5c00-9556-354c89bdc32d,Kiva Han,,"1st floor House, 1",,,23.7819552,90.4158162,,
65dc379d-6157-5b32-9e3f-767ece971be3,"Cheong Shing Restaurant, Dhaka.",,Dhaka Rd No. 19/A,,,23.7925886,90.4095589,,
be0130cc-1995-504a-84d0-917144b5670f,Bukhara Restaurant,,"17th Floor, 42 Ke",,,23.7935901,90.4056861,,
f7cb73de-cf46-5fd9-92a2-c9353d3fd82f,Umai,,8 Rd No. 50,,,23.796943,90.4105417,,
bacb028d-89ce-5d93-a490-371ef313dbe9,Sura Korean Restaurant,,"6th Floor, Hamid Tower, Circle",,,23.7951976,90.4147202,,
ba5f0f76-a309-529d-910f-130ff3c4f31e,BurgerGo - Gulshan,,41 DIT II Cir,,,23.7952022,90.4132852,,
4f35ca36-0ac3-5876-9790-d4f495443eb4,Amaya Food Gallery at Amari Dhaka,,"Level-13, HOUSE",,,23.790456,90.4127423,,
58f60710-b2a1-589a-a6e5-2a2fd2f256bb,Laam,,QCV9+2J,,,23.7926332,90.4191136,,
443516ec-fa96-5efb-bf9c-0444ecfb0138,Fakhruddin Biriyani & Restaurant - Gulshan 1,,"37, South Gulshan, Circle-1",,,23.7805773,90.4173447,,
0f2f4ac6-1575-5b20-a2ea-392eafce4a1c,Kareem's Dhaka,,"Plot 1, 5th floor, Road No. 11",,,23.7911167,90.4016367,,
7ebbc394-4aad-54b1-800d-4a0a4ccfa9f2,Premium Sweets,,"Plot No.22, 2nd F",,,23.7952144,90.4146463,,
0e6e6e75-e37f-5029-a5dd-7ca791699605,Sushi Go,,,,,23.7941527,90.4114452,,
ed00f196-4678-5ff8-b2f6-f7b638588299,Madchef | Banani,,"5th Floor, Plot 47",,,23.7900096,90.4091706,,
c9ff5dd9-5285-5289-99cd-1b6f2e996fef,Raffinato Ristorante Italiano,,"H 9 H, 9 Rd 36",,,23.7930489,90.414286,,
4ed94a2e-693d-52e7-9947-d87f7ae105f3,American Burger | Gulshan 2,,Metropolitan Sho,,,23.7941913,90.4143124,,
8dfa1642-65cb-5221-8230-19ed46869133,Brio: Italian Restaurant,,"2nd Floor, House 10 Rd 53",,,23.7957609,90.4133504,,
afc8fad5-09e8-51bd-88a4-8e2eeff054f3,The Atrium Restaurant,,"50 & 52, Pragati A",,,23.8024957,90.4229298,,
27d1e839-6537-539c-ba6b-56fa453a2e1a,Jadu Bangla Restaurant,,"4, House 10 Road",,,23.7907094,90.4011959,,
183b7ceb-bbf9-56a5-bb57-37f8494c9a41,Olive Garden,,House 37 Rd Num,,,23.7867594,90.4138065,,
a81832bd-2aa9-5a5a-9b6c-7b71df1e8366,The Beast,,"Four Points by Sheraton Dhaka, G",,,23.79459,90.41395,,
536c17b8-c4ce-597f-9d45-af1581778546,Madchef & Cheez! Gulshan 1 (Cloud Kitchen),,"QCG9+627, Rd 137",,,23.7755422,90.4175583,,
ae75224d-2d8a-5ec1-82d8-01eee5e7ad8f,Halda Valley Tea Lounge,,"YN Center, Gulsh",,,23.7883139,90.417341,,
fbcc92f0-b8f0-5c9b-88fc-2c2ea60dcaaf,Cafe Mango,,Rd 131,,,23.7818886,90.4177249,,
366b640b-efbd-5680-96b3-4f31fed7d996,Paturi Banani,,"Block G, House N",,,23.7904975,90.4048496,,
d32219b2-b074-5c28-93d6-494e7cc356c6,Utshob Gulshan,,Gulshan Centre P,,,23.7958194,90.414931,,
d9c46286-b961-57c1-bc1a-3db72f08b8e0,Bahar,,Renaissance Dha,,,23.784365,90.417389,,
9f969a8b-bfad-58fa-9e3e-a1135f0758c5,Pizza Da Wali,,House-155 Gulsh,,,23.7965492,90.4133122,,
ea76ed39-eefc-5eb8-b296-4d36d93982aa,Aaheli Kabab and Chinese Restaurant,,"Plot-01, NI Tower",,,23.7929534,90.4066574,,
1209018d-984d-5e72-9ea1-18bd5a342275,Dhaba Banani,,House#91 Road No 13C,,,23.791675,90.4092343,,
a19d16ea-360d-581a-9bb5-433ddc0cecdc,Tree House,,"Banani 13/E , hou",,,23.7913392,90.4077514,,
c8348ce9-7dd2-5ce6-a3aa-2714af966209,Yoshi Banani,,"House:-94, Level: Ground Floor, R",,,23.7914753,90.4046279,,
932a72f8-7ae6-5ae7-bb1b-5eeac0a4dac7,Meat Theory,,"Tower B11, Level",,,23.7911131,90.4010529,,
125b83a6-e012-59ad-82d4-7d4727f4dd2b,Cielo Rooftop Banani,,99 Road No. 11,,,23.7911101,90.4029509,,
e69272ac-15bf-500b-906d-54693688c799,Rustic Eatery Banani,,"House 2 Road 8,",,,23.7925825,90.4043176,,
dab95e41-0f7c-5a67-a14f-4256bf37b743,Boho | Banani,,"11 Block D, Banani Bridge",,,23.7907794,90.4056252,,
a39efdfc-99ba-5f98-82ce-5bdadbd7a386,Woodhouse Grill Banani,,"Level 4, BTI Laur",,,23.7908477,90.4031427,,
2e00bc58-8c46-51f6-b30b-68967e06a3fe,Arrowhead Grill,,"Level 4, House 3",,,23.7907266,90.4041698,,
45cae320-ed5e-511c-af00-4ba416419a10,Roosters Peri Peri-Bangladesh,,"House 39, Suvas",,,23.7901164,90.4086285,,
c5c47050-54f2-53a2-8f3e-985b9a993663,Pagla Baburchi,,116 Road No. 11,,,23.7904054,90.4081286,,
8c7b3a4f-db4a-5ea7-a3fc-e956f7ee249e,Time Out,,"House, 77 Rd No",,,23.7922831,90.4092631,,
